Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column14
Bejaia Region Dataset ;;;;;;;
day;month;year;Temperature; RH; Ws;Rain ;Classes  
01;06;2012;29;57;18;0;not fire   
02;06;2012;29;61;13;1.3;not fire   
03;06;2012;26;82;22;13.1;not fire   
04;06;2012;25;89;13;2.5;not fire   
05;06;2012;27;77;16;0;not fire   
06;06;2012;31;67;14;0;fire   
07;06;2012;33;54;13;0;fire   
08;06;2012;30;73;15;0;fire   
09;06;2012;25;88;13;0.2;not fire   
10;06;2012;28;79;12;0;not fire   
11;06;2012;31;65;14;0;fire   
12;06;2012;26;81;19;0;fire   
13;06;2012;27;84;21;1.2;not fire   
14;06;2012;30;78;20;0.5;not fire   
15;06;2012;28;80;17;3.1;not fire   
16;06;2012;29;89;13;0.7;not fire   
17;06;2012;30;89;16;0.6;not fire   
18;06;2012;31;78;14;0.3;not fire   
19;06;2012;31;55;16;0.1;not fire   
20;06;2012;30;80;16;0.4;not fire   
21;06;2012;30;78;14;0;fire   
22;06;2012;31;67;17;0.1;not fire   
23;06;2012;32;62;18;0.1;fire   
24;06;2012;32;66;17;0;fire   
25;06;2012;31;64;15;0;fire   
26;06;2012;31;64;18;0;fire   
27;06;2012;34;53;18;0;fire   
28;06;2012;32;55;14;0;fire   
29;06;2012;32;47;13;0.3;not fire   
30;06;2012;33;50;14;0;fire   
01;07;2012;29;68;19;1;not fire   
02;07;2012;27;75;19;1.2;not fire   
03;07;2012;32;76;20;0.7;not fire   
04;07;2012;33;78;17;0;not fire   
05;07;2012;33;66;14;0;fire   
06;07;2012;32;63;14;0;fire   
07;07;2012;35;64;18;0.2;not fire   
08;07;2012;33;68;19;0;fire   
09;07;2012;32;68;14;1.4;not fire   
10;07;2012;33;69;13;0.7;not fire   
11;07;2012;33;76;14;0;not fire   
12;07;2012;31;75;13;0.1;not fire   
13;07;2012;34;81;15;0;not fire   
14;07;2012;34;61;13;0.6;not fire   
15;07;2012;30;80;19;0.4;not fire   
16;07;2012;28;76;21;0;not fire   
17;07;2012;29;70;14;0;fire   
18;07;2012;31;68;14;0;fire   
19;07;2012;35;59;17;0;fire   
20;07;2012;33;65;15;0.1;fire   
21;07;2012;33;70;17;0;fire   
22;07;2012;28;79;18;0.1;not fire   
23;07;2012;27;66;22;0.4;not fire   
24;07;2012;28;78;16;0.1;not fire   
25;07;2012;31;65;18;0;fire   
26;07;2012;36;53;19;0;fire   
27;07;2012;36;48;13;0;fire   
28;07;2012;33;76;15;0;fire   
29;07;2012;32;73;15;0;fire   
30;07;2012;31;79;15;0;fire   
31;07;2012;35;64;17;0;fire   
01;08;2012;36;45;14;0;not fire   
02;08;2012;35;55;12;0.4;not fire   
03;08;2012;35;63;14;0.3;not fire   
04;08;2012;34;69;13;0;fire   
05;08;2012;34;65;13;0;fire   
06;08;2012;32;75;14;0;fire   
07;08;2012;32;69;16;0;fire   
08;08;2012;32;60;18;0.3;not fire   
09;08;2012;35;59;17;0;fire   
10;08;2012;35;55;14;0;fire   
11;08;2012;35;63;13;0;fire   
12;08;2012;35;51;13;0.3;not fire   
13;08;2012;35;63;15;0;fire   
14;08;2012;33;66;14;0;fire   
15;08;2012;36;55;13;0.3;fire   
16;08;2012;36;61;18;0.3;fire   
17;08;2012;37;52;18;0;fire   
18;08;2012;36;54;18;0;fire   
19;08;2012;35;62;19;0;fire   
20;08;2012;35;68;19;0;fire   
21;08;2012;36;58;19;0;fire   
22;08;2012;36;55;18;0;fire   
23;08;2012;36;53;16;0;fire
24;08;2012;34;64;14;0;fire   
25;08;2012;35;60;15;0;fire
26;08;2012;31;78;18;0;fire 
27;08;2012;33;82;21;0;fire
28;08;2012;34;64;16;0;fire 
29;08;2012;35;48;18;0;fire   
30;08;2012;35;70;17;0.8;not fire   
31;08;2012;28;80;21;16.8;not fire
01;09;2012;25;76;17;7.2;not fire 
02;09;2012;22;86;15;10.1;not fire
03;09;2012;25;78;15;3.8;not fire   
04;09;2012;29;73;17;0.1;not fire   
05;09;2012;29;75;16;0;fire   
06;09;2012;29;74;19;0.1;not fire   
07;09;2012;31;71;17;0.3;not fire   
08;09;2012;30;73;17;0.9;not fire   
09;09;2012;30;77;15;1;not fire   
10;09;2012;33;73;12;1.8;not fire   
11;09;2012;30;77;21;1.8;not fire   
12;09;2012;29;88;13;0;not fire   
13;09;2012;25;86;21;4.6;not fire   
14;09;2012;22;76;26;8.3;not fire   
15;09;2012;24;82;15;0.4;not fire   
16;09;2012;30;65;14;0;not fire   
17;09;2012;31;52;14;0;fire   
18;09;2012;32;49;11;0;fire   
19;09;2012;29;57;14;0;fire   
20;09;2012;28;84;18;0;fire
